Week,County,Sales
2/26/2011,CLINTON     ,5561
2/26/2011,COLUMBIA    ,6909
2/26/2011,CORTLAND    ,3432
2/26/2011,DELAWARE    ,4257
2/26/2011,DUTCHESS    ,35840
2/26/2011,ERIE        ,82166
2/26/2011,ESSEX       ,2911
2/26/2011,FRANKLIN    ,3351
2/26/2011,FULTON      ,5934
2/26/2011,GENESEE     ,4499
2/26/2011,GREENE      ,6317
2/26/2011,HAMILTON    ,652
2/26/2011,HERKIMER    ,4717
2/26/2011,JEFFERSON   ,7361
2/26/2011,KINGS       ,246906
2/26/2011,LEWIS       ,1585
2/26/2011,LIVINGSTON  ,4792
2/26/2011,MADISON     ,4911
2/26/2011,MONROE      ,70277
2/26/2011,MONTGOMERY  ,6567
2/26/2011,NASSAU      ,211474
2/26/2011,NEW YORK    ,242953
2/26/2011,NIAGARA     ,16339
2/26/2011,ONEIDA      ,19002
2/26/2011,ONONDAGA    ,41861
2/26/2011,ONTARIO     ,9623
2/26/2011,ORANGE      ,46502
2/26/2011,ORLEANS     ,3116
2/26/2011,OSWEGO      ,9941
2/26/2011,OTSEGO      ,4629
2/26/2011,PUTNAM      ,15747
2/26/2011,QUEENS      ,275621
2/26/2011,RENSSELAER  ,18218
2/26/2011,RICHMOND    ,69252
2/26/2011,ROCKLAND    ,45594
2/26/2011,SARATOGA    ,24533
2/26/2011,SCHENECTADY ,221761
2/26/2011,SCHOHARIE   ,2536
2/26/2011,SCHUYLER    ,1402
2/26/2011,SENECA      ,2690
2/26/2011,ST. LAWRENCE,7532
2/26/2011,STEUBEN     ,7533
2/26/2011,SUFFOLK     ,215469
2/26/2011,SULLIVAN    ,8317
2/26/2011,TIOGA       ,3533
2/26/2011,TOMPKINS    ,6065
2/26/2011,ULSTER      ,21521
2/26/2011,WARREN      ,8811
2/26/2011,WASHINGTON  ,5383
2/26/2011,WAYNE       ,7466
2/26/2011,WESTCHESTER ,129349
2/26/2011,WYOMING     ,3124
2/26/2011,YATES       ,1528
3/5/2011,ALBANY      ,31758
3/5/2011,ALLEGANY    ,2629
3/5/2011,BRONX       ,146603
3/5/2011,BROOME      ,17390
3/5/2011,CATTARAUGUS ,6079
3/5/2011,CAYUGA      ,7145
3/5/2011,CHAUTAUQUA  ,10302
3/5/2011,CHEMUNG     ,7036
3/5/2011,CHENANGO    ,3835
3/5/2011,CLINTON     ,5618
3/5/2011,COLUMBIA    ,6697
3/5/2011,CORTLAND    ,3695
3/5/2011,DELAWARE    ,4533
3/5/2011,DUTCHESS    ,35468
3/5/2011,ERIE        ,86446
3/5/2011,ESSEX       ,2744
3/5/2011,FRANKLIN    ,3634
3/5/2011,FULTON      ,5294
3/5/2011,GENESEE     ,4760
3/5/2011,GREENE      ,5748
3/5/2011,HAMILTON    ,402
